scenario,scenario_label,expected_role,metric,n,mean,ci_low,ci_high
flat_high_dim_markov,Flat high-dimensional Markov latent,capacity_control,state_permutation_reject,400,0.08,0.055,0.1075
persistent_history_no_update,Persistent history without second-order update,history_only_control,loss_srrd_bilevel,200,0.543285099553,0.540066009369,0.546757075343
persistent_history_no_update,Persistent history without second-order update,history_only_control,loss_strongest_baseline,200,0.507365534758,0.505455689923,0.509265279801
persistent_history_no_update,Persistent history without second-order update,history_only_control,loss_flat_rnn_4x,200,0.515363083703,0.513440563863,0.517321024787
persistent_history_no_update,Persistent history without second-order update,history_only_control,r_ood,200,1.07080821923,1.06580599171,1.07604752279
persistent_history_no_update,Persistent history without second-order update,history_only_control,r_shuffle,200,4.70916944836,4.65448590931,4.76612617622
persistent_history_no_update,Persistent history without second-order update,history_only_control,r_frozen,200,1.00030003247,0.998971939627,1.00173654867
persistent_history_no_update,Persistent history without second-order update,history_only_control,srrd_vs_flat_rnn_4x,200,1.0542551697,1.04903990644,1.05955900517
persistent_history_no_update,Persistent history without second-order update,history_only_control,psi_update,200,-0.000866138650336,-0.00703491158563,0.00495445435267
persistent_history_no_update,Persistent history without second-order update,history_only_control,abs_psi_update,200,0.035075819306,0.0314015243411,0.0386570515336
persistent_history_no_update,Persistent history without second-order update,history_only_control,kappa_obs,200,-0.000360891104307,-0.00290633798354,0.00215336305315
persistent_history_no_update,Persistent history without second-order update,history_only_control,history_effect_sham,200,-1.28319788174,-1.28782342312,-1.27870491415
persistent_history_no_update,Persistent history without second-order update,history_only_control,history_effect_probe,200,-1.28406402039,-1.28860133022,-1.27973341279
persistent_history_no_update,Persistent history without second-order update,history_only_control,state_max_smd,200,0.0107634351582,0.0102226046741,0.0113367720108
persistent_history_no_update,Persistent history without second-order update,history_only_control,state_energy_distance,200,0.00313328102048,0.00310131901714,0.00316570420213
persistent_history_no_update,Persistent history without second-order update,history_only_control,state_permutation_reject,200,0.1,0.06,0.145
residual_state_imbalance,Residual observable-state imbalance,matching_confound,loss_srrd_bilevel,400,0.542031352825,0.539639664409,0.544501085105
residual_state_imbalance,Residual observable-state imbalance,matching_confound,loss_strongest_baseline,400,0.496749006759,0.495443168155,0.498094855364
residual_state_imbalance,Residual observable-state imbalance,matching_confound,loss_flat_rnn_4x,400,0.514897913349,0.513430359246,0.516430088463
residual_state_imbalance,Residual observable-state imbalance,matching_confound,r_ood,400,1.09114699859,1.08745904544,1.09492020963
residual_state_imbalance,Residual observable-state imbalance,matching_confound,r_shuffle,400,1.0143007328,1.0128568578,1.01571504435
residual_state_imbalance,Residual observable-state imbalance,matching_confound,r_frozen,400,0.999442804857,0.998442301771,1.00041481972
residual_state_imbalance,Residual observable-state imbalance,matching_confound,srrd_vs_flat_rnn_4x,400,1.05278870193,1.04918801404,1.05653011533
residual_state_imbalance,Residual observable-state imbalance,matching_confound,psi_update,400,0.00115271202916,-0.00326646426541,0.00560165559278
residual_state_imbalance,Residual observable-state imbalance,matching_confound,abs_psi_update,400,0.0357961010834,0.0332558430603,0.0383258976003
residual_state_imbalance,Residual observable-state imbalance,matching_confound,kappa_obs,400,0.000480296678818,-0.00132161362524,0.00231142179802
residual_state_imbalance,Residual observable-state imbalance,matching_confound,history_effect_sham,400,0.080357617472,0.0772252570406,0.0835228528445
residual_state_imbalance,Residual observable-state imbalance,matching_confound,history_effect_probe,400,0.0815103295012,0.0784886139157,0.0846520384513
residual_state_imbalance,Residual observable-state imbalance,matching_confound,state_max_smd,400,0.482230666579,0.476678697544,0.487780162378
residual_state_imbalance,Residual observable-state imbalance,matching_confound,state_energy_distance,400,0.0904155301013,0.0884890462424,0.0923206475339
residual_state_imbalance,Residual observable-state imbalance,matching_confound,state_permutation_reject,400,1,1,1
pure_null,Pure null,negative_control,loss_srrd_bilevel,200,0.542389214257,0.539322263337,0.545555943914
pure_null,Pure null,negative_control,loss_strongest_baseline,200,0.497422863229,0.495572879267,0.499193219003
pure_null,Pure null,negative_control,loss_flat_rnn_4x,200,0.515364092166,0.513429480155,0.517371471989
pure_null,Pure null,negative_control,r_ood,200,1.09038741332,1.08544372124,1.0958417776
pure_null,Pure null,negative_control,r_shuffle,200,1.01042472254,1.00856087539,1.01229162389
pure_null,Pure null,negative_control,r_frozen,200,0.999564288349,0.998249301728,1.00086520412
pure_null,Pure null,negative_control,srrd_vs_flat_rnn_4x,200,1.05251085672,1.04741398716,1.05762168631
pure_null,Pure null,negative_control,psi_update,200,-0.000866138650336,-0.00697965454575,0.00502110563147
pure_null,Pure null,negative_control,abs_psi_update,200,0.035075819306,0.0314465209483,0.0388213062811
pure_null,Pure null,negative_control,kappa_obs,200,-0.000360891104307,-0.00288742100638,0.00213896466208
pure_null,Pure null,negative_control,history_effect_sham,200,0.000502118259136,-0.00406606006209,0.00495823044974
pure_null,Pure null,negative_control,history_effect_probe,200,-0.0003640203912,-0.00465209860057,0.00403317968433
pure_null,Pure null,negative_control,state_max_smd,200,0.0107634351582,0.010175414249,0.0113683330467
pure_null,Pure null,negative_control,state_energy_distance,200,0.00313328102048,0.00310214477628,0.00316367189512
pure_null,Pure null,negative_control,state_permutation_reject,200,0.075,0.04,0.115
